CRASH_CRN,DISTRICT,MUNICIPALITY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,WEATHER,ROAD_CONDITION,COLLISION_TYPE,SCH_BUS_IND,SCH_ZONE_IND,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_MAJ_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG,WET_ROAD,SNOW_SLUSH_ROAD,ICY_ROAD,SUDDEN_DEER,FATAL_OR_MAJ_INJ,INJURY,FATAL,SCHOOL_BUS,SCHOOL_ZONE,BICYCLE,HVY_TRUCK_RELATED,ALCOHOL_RELATED,DRINKING_DRIVER,UNDERAGE_DRNK_DRV,CELL_PHONE,SPEEDING_RELATED,AGGRESSIVE_DRIVING,FATIGUE_ASLEEP,PEDESTRIAN,DISTRACTED,MC_DRINKING_DRIVER,DRUGGED_DRIVER,INJURY_OR_FATAL,IMPAIRED_DRIVER,DEER_RELATED,DRUG_RELATED,STREET_NAME
2010036600,11,2301,2010,4,5,150,1,1,0,1,N,N,2,0,0,0,0,0,0,0,2,0,0,0,0,0,40 25:32.876,80 01:11.311,40.42580032,-80.01979828,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,SAW MILL RUN BL
2010036731,11,2301,2010,4,6,1642,16,2,1,6,N,N,2,0,0,0,0,0,0,0,1,0,0,0,0,0,40 24:19.075,80 01:07.566,40.40530014,-80.01879883,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,LIBERTY AV
2010037512,11,2112,2010,4,1,1032,10,1,0,7,N,N,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40 29:30.248,79 52:29.547,40.49169922,-79.87490082,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,ALLEGHENY VALLEY EX
2010037789,11,2113,2010,4,2,1540,15,1,0,7,N,N,1,0,2,0,0,0,0,0,3,0,0,0,0,0,40 29:47.769,79 50:40.391,40.4966011,-79.84459686,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,ALLEGHENY RIVER BL
2010037799,11,2207,2010,3,7,247,2,1,0,7,N,N,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40 33:47.498,79 58:05.653,40.5632019,-79.96820068,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,DUNCAN AV
2010038481,11,2301,2010,4,5,2118,21,1,0,9,N,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40 23:57.170,80 01:45.420,40.39920044,-80.02929688,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,WENZELL AV
2010040046,11,2301,2010,4,7,1830,18,1,0,1,N,N,2,0,1,0,0,0,0,0,2,0,0,0,0,0,40 25:32.060,79 54:25.202,40.42559814,-79.90709686,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PENN LINCOLN PY
2010040494,11,2217,2010,4,4,1406,14,1,0,1,N,N,1,0,0,1,1,0,0,1,1,0,0,0,0,0,40 37:49.439,79 59:08.052,40.62990189,-79.98519897,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
2010040695,11,2301,2010,2,1,150,1,1,0,7,N,N,1,0,0,0,0,0,0,3,2,0,0,0,0,0,40 25:13.775,80 01:55.824,40.42039871,-80.03240204,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,PENN LINCOLN PY
2010040948,11,2213,2010,4,5,1728,17,1,0,7,N,N,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40 31:38.199,80 12:25.169,40.52730179,-80.20700073,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,UNIVERSITY BL
2010041581,11,2116,2010,5,7,1338,13,1,0,4,N,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,40 31:43.636,80 02:06.770,40.52159882,-80.0338974,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PERRY HW
